Mismatch Type,Position,t-test p-value,Negative log(p-value),Mean Delta LFC,cfd,Total number of guides
rA:dA,1,0.009065396,2.042613212,-0.005917437,1,18
rA:dA,3,0.009357287,2.028850051,1.328199225,0.705882353,17
rA:dA,10,0.042317767,1.37347726,0.623904999,0.882352941,17
rA:dA,7,0.000955795,3.019635284,2.2324425,0.4375,16
rA:dA,18,0.001348657,2.870098561,2.052523856,0.5,16
rA:dA,9,0.006322187,2.199132629,1.837799592,0.6,15
rA:dA,14,0.000428085,3.368469994,2.065196874,0.533333333,15
rA:dA,15,8.24E-07,6.084076297,3.523390555,0.2,15
rA:dA,17,1.45E-07,6.837804124,3.20816743,0.133333333,15
rA:dA,6,0.013226766,1.878546325,1.477530445,0.714285714,14
rA:dA,8,0.000653154,3.184984606,3.001161232,0.428571429,14
rA:dA,11,0.001249958,2.903104483,3.010434212,0.307692308,13
rA:dA,16,1.59E-10,9.799487493,4.012273718,0,13
rA:dA,19,0.002485246,2.604630586,1.392364336,0.538461538,13
rA:dA,12,0.00048674,3.312703072,3.017151846,0.333333333,12
rA:dA,2,0.092608331,1.033349945,0.904866469,0.727272727,11
rA:dA,4,0.043925164,1.357286604,1.065315705,0.636363636,11
rA:dA,5,0.000981273,3.00821037,2.468618216,0.363636364,11
rA:dA,13,0.001204681,2.919127802,3.222818349,0.3,10
rA:dA,20,0.036349297,1.439503985,1.512041362,0.6,10
rA:dC,16,1.24E-09,8.90583382,3.085663115,0.192307692,26
rA:dC,2,0.019553608,1.708773106,0.752257451,0.8,25
rA:dC,5,0.004435687,2.353039144,1.415454868,0.72,25
rA:dC,1,0.037105424,1.430562603,0.050513797,1,23
rA:dC,13,0.000579398,3.23702295,1.811800473,0.652173913,23
rA:dC,9,0.006788749,2.168210279,1.523407448,0.666666667,21
rA:dC,11,0.001170748,2.931536457,1.751195498,0.65,20
rA:dC,15,0.00868062,2.06144926,1.181462325,0.65,20
rA:dC,3,0.007555411,2.121741879,1.51548934,0.611111111,18
rA:dC,10,0.000720621,3.142292872,1.860152096,0.555555556,18
rA:dC,12,0.00595298,2.225265583,1.355717046,0.722222222,18
rA:dC,7,0.012982482,1.886642287,1.668089788,0.705882353,17
rA:dC,17,4.94E-07,6.306566257,3.229381272,0.176470588,17
rA:dC,20,0.009475026,2.023419587,1.428728871,0.764705882,17
rA:dC,4,0.009361047,2.028675587,1.668148428,0.625,16
rA:dC,19,0.000143652,3.842689234,2.54688917,0.375,16
rA:dC,8,0.039467535,1.403759992,1.080658833,0.733333333,15
rA:dC,14,0.000704542,3.152093403,2.264535221,0.466666667,15
rA:dC,18,0.000190479,3.720152412,2.674713759,0.4,15
rA:dC,6,0.024081428,1.618317755,1.23028466,0.714285714,14
rA:dG,19,1.28E-11,10.89241873,3.801252137,0.206896552,29
rA:dG,6,8.19E-05,4.08678804,2.440222945,0.454545455,22
rA:dG,20,4.60E-08,7.336792603,3.637798972,0.227272727,22
rA:dG,18,5.93E-09,8.227289816,3.340156077,0.19047619,21
rA:dG,12,2.60E-07,6.585707476,3.091383512,0.263157895,19
rA:dG,13,3.93E-07,6.405553732,3.505202801,0.210526316,19
rA:dG,4,5.29E-05,4.276731164,2.767363678,0.352941176,17
rA:dG,17,1.08E-05,4.967417417,3.067135663,0.176470588,17
rA:dG,7,0.000123763,3.907410239,2.231018056,0.4375,16
rA:dG,10,0.000124658,3.904280233,2.505057004,0.333333333,15
rA:dG,11,0.000855834,3.067610681,2.183240211,0.4,15
rA:dG,16,9.19E-12,11.03655678,4.296016797,0,15
rA:dG,1,0.150804067,0.821586945,0.571055035,0.857142857,14
rA:dG,2,0.082562533,1.08321699,0.869819823,0.785714286,14
rA:dG,3,0.000488654,3.310998385,2.868406066,0.428571429,14
rA:dG,5,0.004209299,2.375790241,2.029560983,0.5,14
rA:dG,8,0.000132737,3.877009477,2.789718023,0.428571429,14
rA:dG,9,0.003517368,2.453782132,1.87966561,0.571428571,14
rA:dG,14,5.66E-06,5.247315231,3.221613184,0.214285714,14
rA:dG,15,0.001190166,2.924392307,2.879517748,0.272727273,11
rC:dA,1,0.173929651,0.759626374,0.130931742,1,17
rC:dA,10,0.356170955,0.448341499,0.28778777,0.941176471,17
rC:dA,3,0.059406965,1.226162636,0.8786905,0.6875,16
rC:dA,7,0.094316355,1.02541299,0.855785983,0.8125,16
rC:dA,8,0.068285719,1.165670115,0.624457333,0.875,16
rC:dA,9,0.067993525,1.167532444,0.802449846,0.875,16
rC:dA,14,0.009681578,2.014053854,1.560556073,0.733333333,15
rC:dA,15,6.16E-08,7.2105949,3.73400195,0.066666667,15
rC:dA,17,0.001109059,2.955045455,2.114262331,0.466666667,15
rC:dA,6,0.048192039,1.317024697,0.500292938,0.928571429,14
rC:dA,18,0.01301864,1.885434376,1.597903606,0.642857143,14
rC:dA,11,0.0003828,3.417028322,2.817889385,0.307692308,13
rC:dA,12,0.002320689,2.634383101,2.394105287,0.538461538,13
rC:dA,16,1.71E-05,4.766318785,2.932673902,0.307692308,13
rC:dA,19,0.000969438,3.013480132,2.00483942,0.461538462,13
rC:dA,2,0.420973749,0.375744985,0.18191949,0.909090909,11
rC:dA,5,0.023636871,1.626410008,1.595415778,0.636363636,11
rC:dA,4,0.061128511,1.213756183,0.576875259,0.8,10
rC:dA,13,0.05347381,1.27185887,1.317781265,0.7,10
rC:dA,20,0.000346746,3.459989039,2.686344932,0.3,10
rC:dC,16,1.76E-11,10.75506965,3.468091568,0.153846154,26
rC:dC,5,0.000317504,3.498251264,1.948382342,0.6,25
rC:dC,1,0.476932346,0.321543222,0.222331043,0.913043478,23
rC:dC,2,0.012443952,1.905041687,1.155693477,0.695652174,23
rC:dC,13,2.89E-10,9.538588582,3.517901483,0.136363636,22
rC:dC,9,0.006586638,2.181336236,1.359017621,0.619047619,21
rC:dC,11,2.53E-07,6.597454173,3.332692912,0.25,20
rC:dC,15,8.16E-12,11.08852947,4.472438372,0.05,20
rC:dC,3,0.001431884,2.844092312,2.115766949,0.5,18
rC:dC,10,1.89E-05,4.724053732,2.933364891,0.388888889,18
rC:dC,12,0.000347936,3.458500733,2.116084535,0.444444444,18
rC:dC,7,0.000698815,3.155637608,2.103348873,0.470588235,17
rC:dC,17,1.89E-10,9.723867154,4.030303417,0.058823529,17
rC:dC,20,3.47E-09,8.459486545,4.197130883,0.058823529,17
rC:dC,4,0.000940397,3.02668869,2.32632163,0.5,16
rC:dC,19,1.30E-07,6.886810939,3.949612708,0.125,16
rC:dC,14,8.88E-11,10.05168669,4.453511331,0,15
rC:dC,18,1.69E-07,6.771515378,3.953538886,0.133333333,15
rC:dC,6,0.003969374,2.401277954,1.822909777,0.5,14
rC:dC,8,0.009568151,2.019171972,1.565915274,0.642857143,14
rC:dT,8,0.002372455,2.624802008,1.574434608,0.65,20
rC:dT,14,3.26E-06,5.486654975,3.082704363,0.35,20
rC:dT,4,0.031622505,1.500003725,0.802576254,0.842105263,19
rC:dT,15,2.66E-06,5.575335963,3.338569719,0.222222222,18
rC:dT,7,0.022200711,1.653633122,1.056178495,0.75,16
rC:dT,11,0.012909752,1.889082086,1.337319725,0.75,16
rC:dT,20,0.000186962,3.728246935,2.121190609,0.5,16
rC:dT,3,0.030876538,1.510371398,0.86956611,0.866666667,15
rC:dT,10,0.122393252,0.912242527,0.658185953,0.866666667,15
rC:dT,17,0.0007477,3.126272491,2.128854017,0.466666667,15
rC:dT,5,0.004866294,2.312801638,1.870117328,0.571428571,14
rC:dT,6,0.072446001,1.13998558,0.586186017,0.928571429,14
rC:dT,9,0.031332025,1.504011539,1.090329979,0.857142857,14
rC:dT,12,0.010601363,1.974638296,1.141582713,0.714285714,14
rC:dT,13,0.000219946,3.657683387,2.359467902,0.384615385,13
rC:dT,18,0.005417362,2.266212156,1.419796006,0.538461538,13
rC:dT,2,0.027390621,1.562398116,1.270166296,0.727272727,11
rC:dT,1,0.488743441,0.310919058,0.228434864,1,10
rC:dT,16,0.1506935,0.821905481,0.514663484,1,10
rC:dT,19,0.013230384,1.878427563,3.109206024,0.428571429,7
rG:dA,1,0.015718685,1.803583801,0.030776726,1,17
rG:dA,3,0.000304172,3.516880187,2.043357733,0.5,16
rG:dA,8,0.002316522,2.635163544,2.294295436,0.625,16
rG:dA,10,0.011856211,1.926054081,0.750658592,0.8125,16
rG:dA,17,2.31E-05,4.635899059,2.849915169,0.25,16
rG:dA,9,0.00541697,2.266243579,1.814755633,0.533333333,15
rG:dA,14,3.47E-05,4.459169306,3.125476681,0.266666667,15
rG:dA,18,0.007703544,2.113309423,1.51604328,0.666666667,15
rG:dA,7,0.010949401,1.96060962,1.771014358,0.571428571,14
rG:dA,15,4.21E-07,6.375797685,3.499376559,0.142857143,14
rG:dA,11,0.000634602,3.197498269,2.427422152,0.384615385,13
rG:dA,12,0.001369205,2.863531602,2.618121476,0.384615385,13
rG:dA,16,3.40E-08,7.469045467,4.807794573,0,13
rG:dA,6,0.008118203,2.090540076,1.564998859,0.666666667,12
rG:dA,19,0.017024281,1.768931229,1.514489378,0.666666667,12
rG:dA,2,0.152906154,0.815575036,0.771397841,0.636363636,11
rG:dA,4,0.003280677,2.484036489,2.734562106,0.363636364,11
rG:dA,5,0.00167082,2.77707046,2.877166292,0.3,10
rG:dA,13,0.000424044,3.372589274,3.00370944,0.3,10
rG:dA,20,0.192154576,0.716349269,0.586381049,0.7,10
rG:dG,19,1.20E-06,5.919142754,2.378112747,0.448275862,29
rG:dG,6,0.005136457,2.28933633,1.537322591,0.681818182,22
rG:dG,18,0.000102995,3.987182601,2.212467212,0.476190476,21
rG:dG,20,1.58E-05,4.800193175,2.205492115,0.428571429,21
rG:dG,13,0.000575224,3.240162989,2.025733828,0.421052632,19
rG:dG,4,0.000561402,3.250726008,2.062011171,0.529411765,17
rG:dG,12,0.001346241,2.870877316,1.528627361,0.529411765,17
rG:dG,17,2.78E-07,6.555739968,2.923587392,0.235294118,17
rG:dG,7,0.00547697,2.261459637,1.562708528,0.6875,16
rG:dG,10,0.000124415,3.905126252,2.368746152,0.4,15
rG:dG,16,2.80E-08,7.552559792,4.386683823,0,15
rG:dG,1,0.021457734,1.668416133,1.076629876,0.714285714,14
rG:dG,5,0.074198817,1.129603019,0.755950492,0.785714286,14
rG:dG,11,0.000935078,3.029152021,1.938019426,0.428571429,14
rG:dG,14,0.000352492,3.452851229,2.474667811,0.428571429,14
rG:dG,2,0.024837089,1.604899314,1.25279683,0.692307692,13
rG:dG,3,0.001101279,2.95810261,2.23839243,0.384615385,13
rG:dG,8,0.009276463,2.032617606,1.814160577,0.615384615,13
rG:dG,9,0.002888447,2.539335529,2.438217666,0.538461538,13
rG:dG,15,0.001531516,2.814878408,3.191914306,0.272727273,11
rG:dT,4,0.212998214,0.671624038,0.380342594,0.9,20
rG:dT,8,0.369637326,0.43222418,0.279580897,1,20
rG:dT,14,0.016431273,1.784328777,1.326267934,0.75,20
rG:dT,15,0.012142793,1.915681422,0.712687275,0.941176471,17
rG:dT,3,0.021082964,1.676068336,1.076256922,0.75,16
rG:dT,20,0.34747253,0.459079523,0.147389725,0.9375,16
rG:dT,5,0.033725307,1.472044084,0.820862411,0.866666667,15
rG:dT,7,0.496439717,0.304133481,0.234269123,1,15
